Revenue,Costs,a d'e,MEMBERS,COUPE,Cond,Cafe
626.25292,611.53837,2.04,2412,no,excellent,machine
1079.41021,1861.16697,4.73,1188,yes,excellent,bar
3534.77547,1596.27462,4.53,4566,no,excellent,bar
6600.07137,7599.90414,2.66,2030,no,excellent,machine
661.51482,612.96121,2.47,5231,no,poor,machine
949.76473,797.47916,5.63,2708,no,satisfactory,bar
2223.48858,1432.10658,1.98,4755,yes,poor,machine
3043.88088,5192.27374,2.01,2529,no,excellent,kiosk
4074.94524,5936.94513,5.71,2010,no,satisfactory,machine
3793.50284,944.75853,3.33,6578,no,satisfactory,bar
1929.29591,1257.81506,4.9,4115,no,satisfactory,bar
5891.58936,11127.60902,4.6,2710,no,satisfactory,kiosk
483.55272,400.02970,2.77,4797,no,poor,bar
1214.00066,1087.00982,5.54,6828,no,excellent,machine
3292.40216,4438.21764,2.63,928,no,poor,machine
665.06173,658.95455,1.6,2789,yes,satisfactory,bar
4174.65591,3738.28489,6.72,2748,no,satisfactory,machine
1791.30808,666.28412,3.52,5832,no,satisfactory,kiosk
894.12140,431.27356,1.88,5034,no,satisfactory,kiosk
3372.69327,4392.28350,3.06,3118,no,excellent,kiosk
710.21386,410.19129,3.58,5318,no,satisfactory,machine
4025.16269,3956.46852,5.39,6720,no,satisfactory,bar
4194.27469,6216.81249,4.72,2419,no,poor,kiosk
780.67728,395.37920,2.38,3578,no,satisfactory,machine
1910.82661,1548.68589,3.82,3880,yes,satisfactory,machine
290.87753,239.26086,2.26,1952,yes,satisfactory,bar
1302.29613,1642.81687,1.12,4508,no,satisfactory,bar
3329.82157,2133.19646,3.71,1437,yes,poor,machine
3802.63575,3733.04023,4.48,3644,no,satisfactory,machine
209.74262,131.66977,5.61,2414,yes,poor,machine
2178.73729,541.43925,3.44,6575,no,excellent,machine
2555.43313,1962.22008,2.76,1304,yes,poor,bar
2620.39723,2987.51489,4.1,2027,no,excellent,machine
4395.94900,3635.80953,5.29,5540,yes,poor,machine
4027.99916,7306.26918,3.76,3818,no,excellent,machine
6428.91394,6963.66909,2.81,4261,no,poor,machine
2304.15031,2450.81549,1.84,3385,no,satisfactory,machine
8744.34572,10891.27964,1.37,795,no,satisfactory,bar
8083.79449,7920.79600,5.2,2374,yes,excellent,bar
1433.11823,2569.56134,1.05,1454,no,excellent,machine
3644.29324,2711.44112,5.12,4667,yes,satisfactory,kiosk
1154.38396,490.98720,1.42,5047,no,satisfactory,machine
1176.41536,1226.54169,2.2,1912,no,poor,machine
1786.04593,1492.35466,3.63,3784,no,poor,machine
4460.19538,721.20142,4.53,5051,no,poor,machine
1172.34410,1254.75266,5.35,1361,no,poor,machine
877.85764,584.40752,3.92,3039,no,poor,bar
7656.41140,7309.11888,3.2,1704,yes,satisfactory,machine
3688.30800,558.68467,2.56,2726,yes,poor,bar
1409.45781,2657.37683,3.27,2598,no,satisfactory,kiosk
1131.03542,1140.02722,4.15,4450,no,poor,kiosk
2644.13102,1214.27295,4.04,4983,no,excellent,machine
3223.23902,3534.54766,4.27,3023,no,poor,machine
2568.97953,3005.47042,3.19,4432,no,satisfactory,machine
2123.51824,1244.76643,3.39,3918,no,satisfactory,bar
4544.69556,3349.88906,2.86,3511,no,excellent,kiosk
2753.36585,1666.55117,1.33,1786,yes,poor,kiosk
4783.82986,5418.16481,1.4,3912,no,satisfactory,machine
3816.30099,5137.27889,1.88,5731,yes,poor,machine
3747.26786,2712.73013,4.78,5493,no,excellent,bar
3778.77268,4906.86907,1.42,2252,no,excellent,bar
4734.48433,5906.51321,2.23,1835,no,satisfactory,machine
3400.65080,3881.30057,1.51,1049,yes,excellent,bar
6420.99554,8172.46535,5.25,3375,no,satisfactory,machine
4562.42327,4098.50972,3.11,1801,no,excellent,kiosk
1931.39096,2236.56447,1.75,2149,no,satisfactory,machine
5539.71327,938.79710,1.22,4680,yes,excellent,bar
5589.16016,6898.99787,1.08,2544,no,satisfactory,kiosk
762.66538,222.81481,3.98,6394,no,satisfactory,machine
3318.47709,2287.36496,6.53,7315,no,satisfactory,machine
1512.44263,2105.91200,5.48,3186,no,satisfactory,kiosk
3256.58201,4470.07646,5.12,2608,yes,satisfactory,kiosk
2256.75216,2337.15942,3.75,2051,no,satisfactory,kiosk
7449.90089,7887.62528,4.71,4749,no,excellent,machine
3962.84275,3458.50669,1.96,2825,no,satisfactory,kiosk
1422.46142,1170.75233,4.45,1568,no,poor,bar
2536.67983,2759.78331,5.28,2540,yes,satisfactory,kiosk
8977.24926,17039.35298,2.65,1225,no,excellent,bar
2665.09062,1691.65664,6.41,6852,no,satisfactory,machine
5680.97291,6922.52305,2.48,5985,no,satisfactory,machine
7610.36407,8467.48066,1.24,1545,no,satisfactory,kiosk
1703.25564,180.75770,4.58,3540,yes,poor,machine
458.99842,306.01897,2.58,4459,no,poor,bar
2117.04047,1476.01271,3.03,2981,yes,poor,kiosk
2326.58841,4015.19375,4.9,4457,no,excellent,kiosk
809.09668,262.88875,3.56,3110,no,poor,kiosk
611.10072,103.55313,2.93,893,no,poor,machine
2268.96296,1519.62416,1.71,5916,no,poor,kiosk
5417.99653,9011.02703,3.52,3615,no,poor,bar
3480.94428,6112.35060,5.68,2817,no,satisfactory,kiosk
2599.65068,1726.31144,2.51,5416,no,satisfactory,bar
8656.46496,5098.26211,2.83,1205,yes,poor,machine
1725.51755,1678.24239,3.06,6109,no,satisfactory,kiosk
1992.33128,2533.67794,1.94,1122,no,excellent,kiosk
2263.35061,1024.68437,6.31,4810,yes,satisfactory,machine
1343.61887,708.25202,4.19,4478,no,excellent,bar
974.74686,481.47517,2.21,5801,yes,poor,bar
1547.49601,1039.05333,4.41,3566,yes,excellent,machine
1373.99259,636.24037,4.17,3866,no,excellent,kiosk
2225.17931,2038.04052,4.52,3361,no,poor,bar
207.98652,187.09450,6.62,3209,yes,poor,machine
754.14405,344.04509,3.71,3330,no,satisfactory,machine
3374.10027,3957.63429,1.24,6371,no,excellent,machine
7473.23930,7398.43821,2.9,6276,no,satisfactory,machine
816.63565,1221.97735,4.89,4084,no,satisfactory,kiosk
664.02779,652.94417,5.81,3583,yes,satisfactory,bar
5623.45353,8970.12310,5.26,1803,yes,excellent,machine
1823.65275,2388.85331,3.25,4548,no,excellent,kiosk
724.03643,1094.05582,6.23,3140,no,satisfactory,machine
1570.79953,371.27264,5.49,2109,yes,satisfactory,kiosk
3990.00031,4411.36018,4.46,1994,no,satisfactory,machine
3417.97561,5082.71119,5.28,4501,no,satisfactory,kiosk
1464.69356,1378.36148,3.33,4280,no,poor,bar
1576.09731,1373.31023,2.81,2131,no,excellent,kiosk
3562.27343,4004.09578,3.35,5829,no,satisfactory,machine
490.41710,244.90707,2.04,1698,no,satisfactory,kiosk
2480.80607,3927.83859,1.02,800,no,excellent,kiosk
2526.46662,1945.36400,3.48,7207,no,satisfactory,kiosk
9218.92206,8563.53462,4.84,2980,no,excellent,kiosk
3965.17118,3777.68547,1.66,3431,yes,excellent,machine
1351.22499,1335.65736,2.86,3329,no,excellent,bar
940.96834,306.44047,5.71,5647,no,poor,kiosk
5006.32192,5413.47861,6.14,2615,no,satisfactory,machine
10433.63980,362.98687,3.22,2438,yes,poor,kiosk
485.78052,237.00389,2.21,890,yes,poor,kiosk
5874.60317,6404.70749,1.88,3056,no,poor,kiosk
3687.00400,3313.44184,1.85,4416,no,satisfactory,kiosk
1886.21982,3440.75127,1.39,3626,no,poor,machine
3248.37783,3147.21398,1.65,792,yes,satisfactory,bar
1263.11610,2232.35176,1.41,1105,no,poor,bar
2342.26859,2259.98085,3.46,3925,yes,poor,bar
4150.45101,4273.14243,5.71,1628,no,satisfactory,machine
1659.79319,2447.68620,6.47,4650,no,satisfactory,machine
1760.30174,918.02124,2.93,6072,yes,poor,bar
189.76711,200.05598,2.73,2803,no,poor,machine
1757.15360,428.77636,1.07,4005,yes,satisfactory,bar
1300.27367,256.05906,4.01,2060,no,satisfactory,machine
1444.59638,2604.60822,1.92,2708,no,satisfactory,kiosk
1948.67047,232.10819,5.78,1054,no,poor,machine
856.28253,996.71811,2.04,2133,no,satisfactory,kiosk
1034.31127,1578.95210,4.32,2545,yes,satisfactory,machine
2960.61743,1066.18571,4.27,3935,yes,excellent,machine
3078.77249,2004.63331,6.23,1085,no,satisfactory,bar
1012.17448,998.77826,1.56,4100,yes,poor,machine
831.55812,1061.82446,4.23,2055,no,satisfactory,kiosk
942.49946,1530.09190,1.82,1412,no,satisfactory,bar
2442.76273,1173.43669,5.02,6088,no,satisfactory,machine
1298.31729,1003.83197,1.89,4770,yes,satisfactory,machine
843.74375,378.59131,2.09,6775,no,excellent,machine
1744.54786,1648.50240,4.09,1936,no,poor,machine
2182.12348,2150.21740,3.22,4570,yes,satisfactory,bar
5594.83656,6899.72386,4.93,837,no,excellent,bar
4243.52708,6407.90174,1.27,3482,no,satisfactory,machine
2989.18650,3330.09360,1.81,1347,no,satisfactory,machine
1542.31662,2171.56889,5.32,5337,no,satisfactory,machine
6762.66653,8172.46614,4.55,1972,no,poor,bar
3968.04372,1090.85555,2.09,4520,no,poor,kiosk
1124.87124,733.64099,4.74,4016,no,poor,bar
3258.21777,2356.49144,6,2575,yes,excellent,bar
1715.56839,1609.31109,5.19,3603,yes,poor,kiosk
2718.48583,1916.90821,2.05,2470,no,satisfactory,kiosk
1667.74005,2974.84399,4.2,1729,no,poor,bar
3465.92035,3251.27199,3.49,889,no,satisfactory,kiosk
1242.58965,1699.04970,4.23,3314,no,excellent,machine
7421.72221,6823.37446,2.01,2376,yes,satisfactory,kiosk
6743.58635,7748.24773,5.58,2588,no,excellent,kiosk
12476.76814,9038.99060,3.19,4597,no,excellent,bar
3113.86586,1329.52095,2.81,1843,yes,satisfactory,machine
12398.17050,10919.66731,3.89,4808,no,excellent,machine
981.27955,1009.45595,1.72,887,no,satisfactory,bar
3065.58590,945.36201,5.57,3435,yes,satisfactory,kiosk
4482.09912,3369.17386,6.87,3996,no,satisfactory,bar
1974.82712,1878.44360,2.34,3418,yes,satisfactory,machine
4726.16552,5989.51840,3.32,5963,no,satisfactory,kiosk
2430.34423,1632.83279,5.43,1219,no,excellent,bar
3260.38683,2052.34372,2.51,5177,no,satisfactory,bar
1159.41261,671.12055,1.43,2524,no,excellent,kiosk
722.49071,689.32953,1.88,1067,no,satisfactory,kiosk
3759.24816,5760.27522,2.42,3281,no,excellent,bar
2463.02345,338.15210,2.52,6861,no,satisfactory,kiosk
3986.92143,3177.12563,2.87,1771,yes,poor,kiosk
1588.51598,1085.72719,4.46,1919,yes,excellent,bar
966.55927,347.19401,1.41,1659,no,poor,machine
1615.92189,288.64512,2.12,4005,yes,poor,bar
599.31246,1081.77352,4.27,2735,no,poor,machine
1836.82295,3032.40667,2.73,1140,no,poor,bar
7099.89128,6601.15684,6.44,5910,no,satisfactory,bar
10883.98120,13368.34431,3.18,3383,yes,poor,machine
10153.60504,7465.90256,4.81,3769,no,excellent,kiosk
840.15529,540.77349,3.61,2787,yes,poor,bar
1362.34098,908.30168,4.14,3567,yes,excellent,bar
1060.03663,522.33177,4,3131,yes,satisfactory,bar
4041.24168,5208.42520,2.75,2441,no,excellent,machine
1544.94386,1903.35708,2.49,3200,no,satisfactory,machine
3761.96956,5831.71975,3.83,3315,no,satisfactory,bar
792.67902,1014.53631,3.88,1670,yes,poor,machine
10034.69252,8961.70189,3.94,5110,no,excellent,bar
1765.40015,732.30466,2.12,1699,yes,poor,bar
4837.41926,5659.37452,4.36,1453,no,satisfactory,machine
4979.31657,4570.26219,2.41,2844,no,excellent,bar
2318.43160,2265.13096,3.13,3698,no,satisfactory,machine
2255.39665,2074.51658,3.99,2073,no,satisfactory,kiosk
1424.15565,1930.12477,1.13,2433,no,poor,kiosk
2728.83651,5306.01131,1.84,1817,yes,satisfactory,machine
615.39226,295.54263,1.96,5288,yes,satisfactory,machine
3690.79201,6781.77108,1.5,1145,no,satisfactory,machine
740.91392,871.27439,2.23,2494,no,poor,machine
1080.39542,858.66665,4.34,2247,no,satisfactory,kiosk
1369.52920,1611.12165,3.47,1540,no,excellent,bar
723.11771,855.87566,3.33,2683,no,excellent,kiosk
6394.77740,11121.42480,1.18,4138,no,satisfactory,machine
8889.44444,5542.75609,2.91,4040,no,satisfactory,kiosk
3343.57604,1673.94724,4.79,1355,yes,poor,bar
1150.10191,926.09777,5.42,6505,no,poor,machine
2662.87443,1048.56541,3.04,6204,yes,satisfactory,machine
304.19520,179.22588,5.76,5493,yes,satisfactory,bar
3915.79623,3407.45637,5.7,3424,no,satisfactory,bar
1618.92254,604.44249,3.21,2617,no,satisfactory,machine
2379.78167,1732.21174,5.36,6342,no,excellent,bar
5241.53479,5656.54588,4,2379,no,satisfactory,machine
977.04518,1554.45427,1.49,1376,no,satisfactory,bar
2698.35997,2513.89339,2.12,6053,no,excellent,kiosk
585.34253,801.42863,4.59,2298,no,poor,bar
2873.61656,4127.26360,2.09,2968,no,satisfactory,machine
1371.70704,2356.65468,4.09,3692,no,poor,kiosk
2014.38887,1010.68366,6.45,3813,no,excellent,kiosk
997.08041,928.84397,6.55,4516,yes,satisfactory,kiosk
5925.47166,3569.20668,5.2,3230,no,poor,machine
1443.32418,850.60192,3.09,1634,yes,excellent,kiosk
4471.75154,5693.65361,2.32,2450,no,satisfactory,kiosk
2322.73563,2235.59647,6.67,2933,no,poor,machine
1773.39536,2106.52137,1.27,4702,no,satisfactory,machine
935.66739,1149.55613,3.87,5166,no,excellent,bar
479.98306,168.21627,4.05,4324,yes,satisfactory,bar
3570.34875,1955.86912,3.14,6431,no,satisfactory,kiosk
5058.80541,7078.32263,1.91,3847,no,satisfactory,machine
9007.33842,9694.11718,1.75,1385,no,excellent,kiosk
5097.97703,3986.35192,4.05,1931,no,poor,machine
3390.69425,2791.28066,3.33,4873,yes,satisfactory,machine
2514.68609,499.09995,4.71,5500,no,satisfactory,machine
15584.44409,13579.65079,4.61,5392,no,excellent,kiosk
2089.69856,1113.46020,3.26,2106,no,satisfactory,kiosk
2297.32770,2099.36831,1.11,3289,no,excellent,kiosk
2937.55806,4456.35135,2.51,1100,no,satisfactory,bar
2486.29984,3513.80724,4.87,2062,no,satisfactory,machine
3979.83868,3437.61815,3.12,3465,no,satisfactory,kiosk
2133.82072,1405.05477,5.7,4790,no,excellent,machine
1773.29066,1986.47150,3.05,966,no,poor,bar
5737.26382,5339.63402,4.58,3718,no,satisfactory,bar
2006.65495,563.84130,6.85,1313,no,poor,bar
2609.88349,3066.43544,4.34,2925,no,satisfactory,bar
5187.84935,4031.07569,2.08,2251,no,satisfactory,bar
4181.17965,1861.44324,4.93,2454,yes,poor,machine
4038.47721,6756.00187,1.83,870,no,satisfactory,kiosk
2872.62174,728.78844,4.85,1811,yes,poor,kiosk
834.05059,1475.05086,4.43,3473,no,excellent,kiosk
586.00807,354.56962,4.97,1867,no,satisfactory,bar
1853.12108,2988.79732,2.42,2201,no,poor,bar
1747.86873,2198.23373,3.79,3738,no,poor,machine
414.08111,565.62047,4.91,3502,no,satisfactory,machine
2105.27031,614.74780,5.99,2138,yes,excellent,bar
4258.69215,2779.45884,5.03,1307,no,satisfactory,bar
3140.00677,1005.57684,5.59,3869,no,excellent,bar
597.04716,506.25862,1.24,5045,yes,poor,kiosk
8065.51485,12587.55458,3.02,4672,yes,satisfactory,bar
3529.36874,1629.99787,2.54,2626,no,poor,bar
2096.54690,1561.32458,4.5,5076,no,excellent,machine
2024.87621,241.35672,3.2,5351,no,poor,bar
2968.18228,3666.97109,3.21,1006,no,satisfactory,machine
701.15321,319.21233,1.66,5762,no,satisfactory,bar
4264.67331,4891.71876,3.82,1421,no,satisfactory,bar
1164.71202,1345.78075,2.7,1726,no,satisfactory,kiosk
4544.83982,3039.41089,3.76,5238,no,excellent,bar
983.11110,1620.35721,4.21,1759,no,poor,machine
7675.67660,7511.15498,5.61,4653,no,excellent,bar
326.59162,350.39302,5.39,4654,no,satisfactory,machine
10687.22723,10825.80825,3.69,1020,no,excellent,machine
2537.30156,4540.29378,2.28,1396,no,poor,kiosk
1558.51920,631.16432,4.29,6362,no,poor,machine
488.59021,455.36104,2.96,2920,no,satisfactory,bar
2190.80041,714.88333,4.87,3195,no,satisfactory,kiosk
1824.26969,1658.61127,6.7,2891,no,poor,kiosk
7775.63541,8239.22309,2.68,2962,no,excellent,kiosk
3499.47777,4231.83042,3.09,1361,no,satisfactory,bar
2730.97903,4198.99341,2.97,4709,no,excellent,machine
2867.95738,3682.46221,3.69,2284,yes,satisfactory,bar
1555.53176,222.58325,7.05,4455,no,satisfactory,kiosk
175.60933,215.30338,4.23,1266,no,poor,kiosk
852.48552,1401.19118,2.07,2288,no,satisfactory,machine
4310.86486,4372.95766,2.62,2788,no,excellent,kiosk
915.69095,996.96389,5.02,3849,no,satisfactory,kiosk
7945.23395,8553.27933,6.5,4270,no,satisfactory,machine
1996.53015,1021.08439,4.69,2432,no,satisfactory,bar
608.47623,748.68782,2.48,2300,no,excellent,kiosk
9417.52359,2995.08868,1.86,2430,no,poor,kiosk
6009.44370,4969.34672,1.84,7346,no,satisfactory,machine
1179.16220,2039.99784,5.03,3387,yes,poor,machine
2275.81655,905.10373,3.51,3024,no,satisfactory,kiosk
1626.80602,543.74637,1.3,2583,yes,satisfactory,machine
8287.63604,7499.10206,4.76,6928,no,excellent,bar
2843.55302,4047.21594,2.51,3851,no,satisfactory,kiosk
8181.84657,8086.75721,1.06,4608,no,excellent,kiosk
498.73358,391.25091,3.64,4962,no,poor,kiosk
777.22921,1227.46148,1.64,1020,no,satisfactory,kiosk
1262.61138,364.19364,2.43,6056,no,excellent,bar
1672.81263,2549.00830,2.72,1999,yes,satisfactory,kiosk
1675.27395,1405.33541,2.94,5584,no,excellent,bar
2159.71919,1152.93816,4.67,4931,yes,excellent,kiosk
2080.43252,435.12920,1.33,5837,yes,satisfactory,machine
4978.14654,5950.41553,3.34,3591,no,satisfactory,machine
2699.88606,3843.69555,4.65,2136,no,satisfactory,machine
2716.03259,1406.82800,4.68,3637,no,satisfactory,bar
528.41128,181.86872,2.68,3847,yes,satisfactory,bar
3180.33363,3348.80351,3.56,2906,yes,satisfactory,machine
846.28834,636.91242,2.81,3417,yes,satisfactory,bar
2491.83685,3528.88704,1.3,1675,yes,excellent,kiosk
1949.71368,969.96412,2.26,4680,no,poor,machine
4631.17202,6420.23556,2.33,2127,no,satisfactory,bar
1182.58033,1472.11251,1.46,3712,no,poor,machine
7249.16188,4875.48527,5.78,3056,yes,excellent,machine
2454.34265,3463.52613,2.2,2367,no,excellent,machine
1268.69272,529.29516,5.56,3827,no,poor,kiosk
697.62440,655.04602,4.74,6914,yes,poor,bar
5215.89943,7510.44629,2.04,3055,no,satisfactory,bar
3966.48680,1239.28272,3.59,4699,no,satisfactory,kiosk
2928.30905,546.64872,4.07,6417,no,satisfactory,kiosk
2580.37758,1411.09611,1.5,5382,yes,excellent,bar
890.63913,1588.80808,3.57,4821,no,poor,machine
5957.94437,7649.15575,3.4,1646,no,excellent,bar
10024.89497,11858.25676,1.31,5019,no,excellent,machine
447.48110,489.29045,1.69,2714,no,excellent,bar
2281.10654,2628.05572,3.6,2551,no,excellent,machine
1578.59168,2800.89367,4.72,1077,no,excellent,machine
3347.81641,4169.62832,1.05,857,yes,satisfactory,kiosk
2192.89522,1926.48952,3.86,2266,yes,satisfactory,kiosk
1499.53633,1362.70913,4.32,4095,no,satisfactory,machine
2423.31387,1848.07895,2.13,3531,no,satisfactory,machine
4634.97176,4678.02186,1.87,1406,no,satisfactory,bar
1420.54125,361.10391,6.13,3693,yes,satisfactory,bar
1524.09124,1885.29436,2.99,2758,no,poor,kiosk
6157.13565,3821.07629,4.32,2345,no,poor,bar
1006.53786,829.70408,6.18,5322,yes,poor,kiosk
771.14919,812.82377,1.3,3900,no,poor,machine
2387.72478,2636.01518,1.65,5397,no,poor,machine
5236.98423,5050.75160,3.44,4781,no,excellent,kiosk
4245.97490,2464.02190,5.01,1253,yes,excellent,kiosk
537.36853,933.79536,2.78,1344,no,poor,kiosk
1869.89361,1819.74140,1.67,3898,yes,poor,kiosk
1448.96731,1302.13215,1.45,2934,no,poor,machine
9188.13230,5742.62847,5.59,4200,yes,satisfactory,machine
3209.72156,3156.30582,3.32,1912,no,excellent,kiosk
4176.56918,2926.78608,4.91,838,no,excellent,bar
4757.74315,3473.51476,3.16,6734,yes,poor,kiosk
3098.68381,1542.01767,4.55,2921,no,excellent,kiosk
1217.71033,1831.47173,2.85,2223,yes,excellent,bar
1651.19284,1635.85631,4.11,7272,no,poor,bar
2159.58505,1648.34496,2.94,4678,yes,excellent,kiosk
2222.64204,2835.43737,6.99,4053,no,satisfactory,bar
1320.91763,2266.16036,2.08,2388,no,satisfactory,bar
1607.07741,559.97569,6.43,2772,yes,excellent,kiosk
2989.27633,4431.47168,2.54,5408,no,excellent,machine
5238.30879,8999.50000,1.54,2446,no,excellent,bar
3580.33807,1673.95240,3.3,5585,yes,poor,bar
3878.47287,3914.93521,3.71,3706,no,satisfactory,bar
2288.31599,2230.50008,4.24,3765,no,excellent,kiosk
1351.45561,1654.82605,2.3,900,yes,poor,kiosk
2067.46529,2179.12257,4.47,1638,no,excellent,machine
